City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
522,Aviles,ES,49.73,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
531,Redmond,US,46.9,47.674,-122.1215,Seattle Marriott Redmond
541,Hasaki,JP,48.29,35.7333,140.8333,Hotel Sunrise Choshi
544,Kumluca,TR,47.68,36.3703,30.2869,TurkuazKöy
546,Silleda,ES,46.26,42.696,-8.2465,Hotel Ramos
554,Hashtgerd,IR,34.36,35.9642,50.6858,Parse System
556,Lahti,RU,26.78,59.9911,30.1597,Olgino Hotel
562,Kodiak,US,28.53,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
570,Hamilton,US,30.42,39.1834,-84.5333,Six Acres Bed & Breakfast
573,Amiens,FR,48.7,49.9,2.3,Grand Hôtel de l'Univers
590,Goderich,CA,25.92,43.7501,-81.7165,Harmony Inn
595,Betanzos,ES,45.32,43.2804,-8.2147,Hotel Garelos Betanzos
602,Jabinyanah,TN,46.2,35.035,10.9081,maison belmabrouk
603,Salamiyah,SY,41.97,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
604,Karla,EE,25.57,59.3723,24.9275,River Villa
615,Santona,ES,45.91,43.4439,-3.4576,Playamar
617,Margate,GB,46.74,51.3813,1.3862,Premier Inn Margate hotel
619,Sorland,NO,34.12,67.667,12.6934,Sjybrygga fiskecamp
627,Klaksvik,FO,32.92,62.2266,-6.589,Airbnb rooms
646,Bend,US,48.67,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
650,Roscommon,IE,41.38,53.6333,-8.1833,Hannon's Hotel
658,Shingu,JP,45.91,33.7333,135.9833,Shingu UI Hotel
660,Bhaderwah,IN,41.11,32.9784,75.7186,Hotel Shiv Residency and Restaurant Bhaderwah (J&K)
669,Bani Walid,LY,46.4,31.7566,13.9942,منزل مفتاح محمد الزلبي
671,Tawang,IN,36.61,27.5833,91.8667,Hotel Mount View
675,Florence,IT,49.53,43.7667,11.25,Italiana Hotels Florence
676,Jaca,ES,42.01,42.569,-0.5499,Hotel Real Jaca & Spa
678,Ozd,HU,36.88,48.2167,20.3,Hotel Ózd Restaurant
